S.no,store name (store code),Mail-id
165,AGH,btqagh@titan.co.in
166,ALD,btqald@titan.co.in
167,AZM,btqazm@titan.co.in
168,BRL,btqbrl@titan.co.in
169,AYD,btqayd@titan.co.in
170,GKP,btqgkp@titan.co.in
171,JHA,btqjha@titan.co.in
172,MTH,btqmth@titan.co.in
173,TMT,btqtmt@titan.co.in
174,MER,btqmer@titan.co.in
175,MBD,btqmbd@titan.co.in
176,TSP,btqtsp@titan.co.in
177,SZP,btqszp@titan.co.in
178,TVS,btqtvs@titan.co.in
179,VAR,btqvar@titan.co.in
180,DRA,btqdra@titan.co.in
181,DDA,btqdda@titan.co.in
182,DDG,btqddg@titan.co.in
183,HAL,btqhal@titan.co.in
184,HDR,btqhdr@titan.co.in
185,KSP,btqksp@titan.co.in
186,RRK,btqrrk@titan.co.in
187,RDP,btqrdp@titan.co.in
188,MZR,btqmzr@titan.co.in
189,LKP,btqlkp@titan.co.in
190,JNP,btqjnp@titan.co.in
191,BLI,btqbli@titan.co.in
192,SUL,btqsul@titan.co.in
193,BLN,btqbln@titan.co.in
194,RBR,btqrbr@titan.co.in
195,BST,btqbst@titan.co.in
196,VRN,btqvrn@titan.co.in
197,GZP,btqgzp@titan.co.in
198,MGH,btqmgh@titan.co.in
199,ETW,btqetw@titan.co.in
200,GPR,btqgpr@titan.co.in
201,BIJ,btqbij@titan.co.in
202,AFD,btqafd@titan.co.in
203,ALB,btqalb@titan.co.in
204,LVY,btqlvy@titan.co.in
205,GON,btqgon@titan.co.in
206,YNR,btqynr@titan.co.in
207,ABL,btqabl@titan.co.in
208,SHM,btqshm@titan.co.in
209,JMK,btqjmk@titan.co.in
210,SRI,btqsri@titan.co.in
211,CHB,btqchb@titan.co.in
212,CHM,btqchm@titan.co.in
213,AST,btqast@titan.co.in
214,BTD,btqbtd@titan.co.in
215,HSP,btqhsp@titan.co.in
216,JLT,btqjlt@titan.co.in
217,KHN,btqkhn@titan.co.in
218,LDT,btqldt@titan.co.in
219,LDN,btqldn@titan.co.in
220,MOH,btqmoh@titan.co.in
221,PTK,btqptk@titan.co.in
222,PTL,btqptl@titan.co.in
223,MOG,btqmog@titan.co.in
224,SLN,btqsln@titan.co.in
225,NWN,btqnwn@titan.co.in
226,KNG,btqkng@titan.co.in
227,MDI,btqmdi@titan.co.in
228,KAI,btqkai@titan.co.in
229,ZRK,btqzrk@titan.co.in
230,BRN,btqbrn@titan.co.in
231,JMC,btqjmc@titan.co.in
232,AGT,btqagt@titan.co.in
233,ANT,btqant@titan.co.in
234,CHE,btqche@titan.co.in
235,FRD,btqfrd@titan.co.in
236,FBD,btqfbd@titan.co.in
237,HIS,btqhis@titan.co.in
238,TKN,btqtkn@titan.co.in
239,PAG,btqpag@titan.co.in
240,RTK,btqrtk@titan.co.in
241,SRS,btqsrs@titan.co.in
242,AJM,btqajm@titan.co.in
243,BLW,btqblw@titan.co.in
244,BKN,btqbkn@titan.co.in
245,JAT,btqjat@titan.co.in
246,JPR,btqjpr@titan.co.in
247,JOD,btqjod@titan.co.in
248,KOT,btqkot@titan.co.in
249,SGN,btqsgn@titan.co.in
250,ALW,btqalw@titan.co.in
251,SIK,btqsik@titan.co.in
252,BWR,btqbwr@titan.co.in
253,UDI,btqudi@titan.co.in
254,SNP,btqsnp@titan.co.in
255,JIP,btqjip@titan.co.in
256,PLW,btqplw@titan.co.in
257,KRS,btqkrs@titan.co.in
258,RWR,btqrwr@titan.co.in
259,BNW,btqbnw@titan.co.in
260,JPM,btqjpm@titan.co.in
261,CRB,btqcrb@titan.co.in
262,VLS,btqvls@titan.co.in
263,VEL,btqvel@titan.co.in
264,ABO,btqabo@titan.co.in
265,URB,btqurb@titan.co.in
266,ADR,btqadr@titan.co.in
267,CRO,btqcro@titan.co.in
268,CGD,btqcgd@titan.co.in
269,CAY,btqcay@titan.co.in
270,PND,btqpnd@titan.co.in
271,KBO,btqkbo@titan.co.in
272,CBE,btqcbe@titan.co.in
273,POL,btqpol@titan.co.in
274,HST,btqhst@titan.co.in
275,HOS,btqhos@titan.co.in
276,KRI,btqkri@titan.co.in
277,MEV,btqmev@titan.co.in
278,MAN,btqman@titan.co.in
279,SAL,btqsal@titan.co.in
280,SAE,btqsae@titan.co.in
281,TRY,btqtry@titan.co.in
282,TTI,btqtti@titan.co.in
283,KCM,btqkcm@titan.co.in
284,KKR,btqkkr@titan.co.in
285,PUD,btqpud@titan.co.in
286,PTU,btqptu@titan.co.in
287,KRR,btqkrr@titan.co.in
288,NGL,btqngl@titan.co.in
289,SVS,btqsvs@titan.co.in
290,TEN,btqten@titan.co.in
291,TNV,btqtnv@titan.co.in
292,DDL,btqddl@titan.co.in
293,EDE,btqede@titan.co.in
294,TNJ,btqtnj@titan.co.in
295,VLT,btqvlt@titan.co.in
296,TPK,btqtpk@titan.co.in
297,CPV,btqcpv@titan.co.in
298,CMV,btqcmv@titan.co.in
299,THP,btqthp@titan.co.in
300,COW,btqcow@titan.co.in
301,CPO,btqcpo@titan.co.in
302,TRH,btqtrh@titan.co.in
303,DMP,btqdmp@titan.co.in
304,THE,btqthe@titan.co.in
305,KMB,btqkmb@titan.co.in
306,AMT,btqamt@titan.co.in
307,CDL,btqcdl@titan.co.in
308,TVM,btqtvm@titan.co.in
309,MVL,btqmvl@titan.co.in
310,CGL,btqcgl@titan.co.in
311,RMD,btqrmd@titan.co.in
312,GOP,btqgop@titan.co.in
313,CBM,btqcbm@titan.co.in
314,PXC,btqpxc@titan.co.in
315,CEV,btqcev@titan.co.in
316,COP,btqcop@titan.co.in
317,CSE,btqcse@titan.co.in
318,CAD,btqcad@titan.co.in
319,VLK,btqvlk@titan.co.in
320,NMK,btqnmk@titan.co.in
321,CCN,btqccn@titan.co.in
322,CAN,btqcan@titan.co.in
323,CLT,btqclt@titan.co.in
324,TCB,btqtcb@titan.co.in
325,PLK,btqplk@titan.co.in
326,TVR,btqtvr@titan.co.in
327,THR,btqthr@titan.co.in
328,TRL,btqtrl@titan.co.in
329,TJY,btqtjy@titan.co.in
330,RPM,btqrpm@titan.co.in
331,TBM,btqtbm@titan.co.in
332,MAI,btqmai@titan.co.in
333,VIL,btqvil@titan.co.in
334,BGR,btqbgr@titan.co.in
335,BSK,btqbsk@titan.co.in
336,BJR,btqbjr@titan.co.in
337,MLS,btqmls@titan.co.in
338,TBO,btqtbo@titan.co.in
339,KRM,btqkrm@titan.co.in
340,BKH,btqbkh@titan.co.in
341,PXB,btqpxb@titan.co.in
342,BMH,btqbmh@titan.co.in
343,BVJ,btqbvj@titan.co.in
344,BLE,btqble@titan.co.in
345,BWH,btqbwh@titan.co.in
346,BKR,btqbkr@titan.co.in
347,BMA,btqbma@titan.co.in
348,BHG,btqbhg@titan.co.in
349,BLG,btqblg@titan.co.in
350,BHN,btqbhn@titan.co.in
351,THU,btqthu@titan.co.in
352,MLR,btqmlr@titan.co.in
353,MYS,btqmys@titan.co.in
354,MAO,btqmao@titan.co.in
355,GOM,btqgom@titan.co.in
356,BEL,btqbel@titan.co.in
357,GUB,btqgub@titan.co.in
358,SHG,btqshg@titan.co.in
359,TKR,btqtkr@titan.co.in
360,BYL,btqbyl@titan.co.in
361,BSN,btqbsn@titan.co.in
362,BKP,btqbkp@titan.co.in
363,BRJ,btqbrj@titan.co.in
364,BHS,btqbhs@titan.co.in
365,BBE,btqbbe@titan.co.in
366,BRR,btqbrr@titan.co.in
367,BMT,btqbmt@titan.co.in
368,BSJ,btqbsj@titan.co.in
369,UUP,btquup@titan.co.in
370,VJP,btqvjp@titan.co.in
371,DVR,btqdvr@titan.co.in
372,MYK,btqmyk@titan.co.in
373,BFF,btqbff@titan.co.in
374,BKM,btqbkm@titan.co.in
375,HNR,btqhnr@titan.co.in
376,KPB,btqkpb@titan.co.in
377,PBO,btqpbo@titan.co.in
378,DSR,btqdsr@titan.co.in
379,BJH,btqbjh@titan.co.in
380,ASN,btqasn@titan.co.in
381,KND,btqknd@titan.co.in
382,HKP,btqhkp@titan.co.in
383,HMD,btqhmd@titan.co.in
384,HNL,btqhnl@titan.co.in
385,ATA,btqata@titan.co.in
386,HIM,btqhim@titan.co.in
387,TRU,btqtru@titan.co.in
388,JBH,btqjbh@titan.co.in
389,RJM,btqrjm@titan.co.in
390,VJB,btqvjb@titan.co.in
391,VIB,btqvib@titan.co.in
392,VZG,btqvzg@titan.co.in
393,ANP,btqanp@titan.co.in
394,KRL,btqkrl@titan.co.in
395,OGL,btqogl@titan.co.in
396,KMR,btqkmr@titan.co.in
397,KAM,btqkam@titan.co.in
398,WRL,btqwrl@titan.co.in
399,KAK,btqkak@titan.co.in
400,NEL,btqnel@titan.co.in
401,SBD,btqsbd@titan.co.in
402,NZA,btqnza@titan.co.in
403,ELR,btqelr@titan.co.in
404,VNM,btqvnm@titan.co.in
405,GUT,btqgut@titan.co.in
406,SRK,btqsrk@titan.co.in
407,HBV,btqhbv@titan.co.in
408,HBB,btqhbb@titan.co.in
409,HKK,btqhkk@titan.co.in
410,HKJ,btqhkj@titan.co.in
411,HKL,btqhkl@titan.co.in
412,BMV,btqbmv@titan.co.in
413,RPT,btqrpt@titan.co.in
414,RPP,btqrpp@titan.co.in
415,BLS,btqbls@titan.co.in
416,KOR,btqkor@titan.co.in
417,ABK,btqabk@titan.co.in
418,KHR,btqkhr@titan.co.in
419,VSI,btqvsi@titan.co.in
420,TUR,btqtur@titan.co.in
421,MMT,btqmmt@titan.co.in
422,MRA,btqmra@titan.co.in
423,BOI,btqboi@titan.co.in
424,TIO,btqtio@titan.co.in
425,RCT,btqrct@titan.co.in
426,BOR,btqbor@titan.co.in
427,GOR,btqgor@titan.co.in
428,PWI,btqpwi@titan.co.in
429,VRR,btqvrr@titan.co.in
430,RIG,btqrig@titan.co.in
431,PXM,btqpxm@titan.co.in
432,KLN,btqkln@titan.co.in
433,MLL,btqmll@titan.co.in
434,MTG,btqmtg@titan.co.in
435,DMB,btqdmb@titan.co.in
436,ABH,btqabh@titan.co.in
437,TSM,btqtsm@titan.co.in
438,THN,btqthn@titan.co.in
439,VSH,btqvsh@titan.co.in
440,TVC,btqtvc@titan.co.in
441,TRA,btqtra@titan.co.in
442,BHI,btqbhi@titan.co.in
443,VAS,btqvas@titan.co.in
444,NRL,btqnrl@titan.co.in
445,ADH,btqadh@titan.co.in
446,NMM,btqnmm@titan.co.in
447,ASV,btqasv@titan.co.in
448,DRG,btqdrg@titan.co.in
449,JDB,btqjdb@titan.co.in
450,TGH,btqtgh@titan.co.in
451,PXK,btqpxk@titan.co.in
452,GKT,btqgkt@titan.co.in
453,BOS,btqbos@titan.co.in
454,AUN,btqaun@titan.co.in
455,TPN,btqtpn@titan.co.in
456,PPX,btqpxp@titan.co.in
457,SOL,btqsol@titan.co.in
458,PIT,btqpit@titan.co.in
459,TBG,btqtbg@titan.co.in
460,TPL,btqtpl@titan.co.in
461,PKD,btqpkd@titan.co.in
462,TNA,btqtna@titan.co.in
463,NGP,btqngp@titan.co.in
464,TPP,btqtpp@titan.co.in
465,PSR,btqpsr@titan.co.in
466,PPW,btqppw@titan.co.in
467,KOL,btqkol@titan.co.in
468,SAN,btqsan@titan.co.in
469,KUD,btqkud@titan.co.in
470,ABT,btqabt@titan.co.in
471,LTU,btqltu@titan.co.in
472,NAS,btqnas@titan.co.in
473,NAN,btqnan@titan.co.in
474,JLG,btqjlg@titan.co.in
475,PHD,btqphd@titan.co.in
476,AMV,btqamv@titan.co.in
477,CHK,btqchk@titan.co.in
478,AKL,btqakl@titan.co.in
479,YVT,btqyvt@titan.co.in
480,NGM,btqngm@titan.co.in
481,BRM,btqbrm@titan.co.in
482,AHN,btqahn@titan.co.in
483,STA,btqsta@titan.co.in
484,PBB,btqpbb@titan.co.in
485,PCC,btqpcc@titan.co.in
486,JAB,btqjab@titan.co.in
487,JBR,btqjbr@titan.co.in
488,RWA,btqrwa@titan.co.in
489,TBH,btqtbh@titan.co.in
490,BPL,btqbpl@titan.co.in
491,TGW,btqtgw@titan.co.in
492,SGR,btqsgr@titan.co.in
493,CWA,btqcwa@titan.co.in
494,TMN,btqtmn@titan.co.in
495,TSR,btqtsr@titan.co.in
496,GDM,btqgdm@titan.co.in
497,MHS,btqmhs@titan.co.in
498,ACH,btqach@titan.co.in
499,AHA,btqaha@titan.co.in
500,TID,btqtid@titan.co.in
501,ABR,btqabr@titan.co.in
502,TND,btqtnd@titan.co.in
503,UJN,btqujn@titan.co.in
504,PXI,btqpxi@titan.co.in
505,SRT,btqsrt@titan.co.in
506,SUT,btqsut@titan.co.in
507,TCR,btqtcr@titan.co.in
508,AND,btqand@titan.co.in
509,BRC,btqbrc@titan.co.in
510,BRD,btqbrd@titan.co.in
511,VAD,btqvad@titan.co.in
512,APM,btqapm@titan.co.in
513,BVN,btqbvn@titan.co.in
514,JMN,btqjmn@titan.co.in
515,RAJ,btqraj@titan.co.in
516,MRB,btqmrb@titan.co.in
517,JNG,btqjng@titan.co.in
518,RJK,btqrjk@titan.co.in
519,VAP,btqvap@titan.co.in
520,NAV,btqnav@titan.co.in
521,SUV,btqsuv@titan.co.in
522,GND,btqgnd@titan.co.in
523,RTL,btqrtl@titan.co.in
524,VSD,btqvsd@titan.co.in
525,BUJ,btqbuj@titan.co.in
526,KTN,btqktn@titan.co.in
527,HPU,btqhpu@titan.co.in
